Ametrida centurio
Artibeus anderseni
Artibeus gnomus
Artibeus lituratus
Artibeus obscurus
Carollia brevicauda
Carollia perspicillata
Chiroderma trinitatum
Chiroderma villosum
Chrotopterus auritus
Cormura brevirostris
Cynomops abrasus
Cynomops paranus
Cynomops planirostris
Dermanura anderseni
Dermanura gnoma
Desmodus rotundus
Diaemus youngi
Diclidurus albus
Diphylla ecaudata
Eptesicus brasiliensis
Eptesicus furinalis
Eumops auripendulus
Eumops bonariensis
Eumops glaucinus
Eumops hansae
Eumops perotis
Glossophaga soricina
Glyphonycteris behnii
Lasiurus blossevillii
Lasiurus ega
Lichonycteris obscura
Lonchophylla thomasi
Lonchorhina aurita
Lophostoma silvicolum
Macrophyllum macrophyllum
Mesophylla macconnelli
Micronycteris megalotis
Micronycteris minuta
Mimon crenulatum
Molossops mattogrossensis
Molossops temminckii
Molossus coibensis
Molossus currentium
Molossus molossus
Molossus rufus
Myotis albescens
Myotis nigricans
Myotis riparius
Noctilio albiventris
Noctilio leporinus
Nyctinomops laticaudatus
Nyctinomops macrotis
Peropteryx kappleri
Peropteryx macrotis
Phylloderma stenops
Phyllostomus discolor
Phyllostomus elongatus
Phyllostomus hastatus
Platyrrhinus brachycephalus
Platyrrhinus helleri
Platyrrhinus lineatus
Pteronotus gymnonotus
Pteronotus parnellii
Pteronotus personatus
Rhinophylla pumilio
Rhogeessa io
Rhynchonycteris naso
Saccopteryx bilineata
Saccopteryx leptura
Sturnira lilium
Sturnira tildae
Thyroptera tricolor
Trachops cirrhosus
Uroderma bilobatum
Uroderma magnirostrum
Vampyressa bidens
Vampyrodes caraccioli
