Barbastella barbastellus
Eptesicus nilssonii
Eptesicus isabellinus
Eptesicus serotinus
Hypsugo savii
Miniopterus schreibersii
Myotis alcathoe
Myotis aurascens
Myotis bechsteinii
Myotis blythii
Myotis brandtii
Myotis capaccinii
Myotis crypticus
Myotis dasycneme
Myotis daubentonii
Myotis emarginatus
Myotis escalerai
Myotis myotis
Myotis mystacinus
Myotis nattereri
Myotis oxygnathus
Myotis punicus
Nyctalus lasiopterus
Nyctalus leisleri
Nyctalus noctula
Pipistrellus kuhlii
Pipistrellus nathusii
Pipistrellus pipistrellus
Pipistrellus pygmaeus
Plecotus auritus
Plecotus austriacus
Plecotus kolombatovici
Plecotus macrobullaris
Plecotus sardus
Rhinolophus blasii
Rhinolophus euryale
Rhinolophus ferrumequinum
Rhinolophus hipposideros
Rhinolophus mehelyi
Tadarida teniotis
Vespertilio murinus
