Antrozous pallidus
Artibeus jamaicensis
Brachyphylla cavernarum
Brachyphylla nana
Chilonatalus micropus
Chilonatalus tumidifrons
Eptesicus fuscus
Erophylla bombifrons
Erophylla sezekorni
Eumops glaucinus
Lasiurus insularis
Lasiurus minor
Lasiurus pfeifferi
Macrotus waterhousii
Molossus molossus
Monophyllus plethodon
Monophyllus redmani
Mormoops blainvillei
Myotis martiniquensis
Natalus major
Natalus primus
Natalus stramineus
Noctilio leporinus
Nycticeius cubanus
Nyctiellus lepidus
Nyctinomops laticaudatus
Nyctinomops macrotis
Phyllonycteris poeyi
Phyllops falcatus
Pteronotus macleayii
Pteronotus parnellii
Pteronotus quadridens
Stenoderma rufum
Tadarida brasiliensis
