Chaerephon jobensis
Chalinolobus gouldii
Chalinolobus nigrogriseus
Chalinolobus picatus
Hipposideros ater
Hipposideros cervinus
Hipposideros diadema
Hipposideros semoni
Macroderma gigas
Miniopterus schreibersii
Mormopterus beccarii
Mormopterus loriae
Mormopterus planiceps
Murina florium
Myotis australis
Myotis macropus
Nyctophilus arnhemensis
Nyctophilus bifax
Nyctophilus geoffroyi
Nyctophilus gouldi
Phoniscus papuensis
Pipistrellus adamsi
Rhinolophus megaphyllus
Rhinolophus philippinensis
Saccolaimus flaviventris
Saccolaimus mixtus
Saccolaimus saccolaimus
Scotorepens balstoni
Scotorepens greyii
Scotorepens sanborni
Tadarida australis
Taphozous australis
Vespadelus baverstocki
Vespadelus troughtoni
Vespadelus vulturnus
