Asellia tridens
Barbastella barbastellus
Barbastella leucomelas
Eptesicus bottae
Eptesicus nasutus
Eptesicus serotinus
Hypsugo savii
Miniopterus schreibersii
Myotis aurascens
Myotis bechsteinii
Myotis blythii
Myotis brandtii
Myotis capaccinii
Myotis daubentonii
Myotis emarginatus
Myotis mystacinus
Myotis nattereri
Nyctalus lasiopterus
Nyctalus leisleri
Nyctalus noctula
Pipistrellus kuhlii
Pipistrellus nathusii
Pipistrellus pipistrellus
Plecotus auritus
Plecotus kolombatovici
Plecotus macrobullaris
Rhinolophus blasii
Rhinolophus clivosus
Rhinolophus euryale
Rhinolophus ferrumequinum
Rhinolophus hipposideros
Rhinolophus mehelyi
Rhinopoma hardwickii
Tadarida teniotis
Vespertilio murinus
