Chaerephon plicatus
Coelops frithii
Glischropus tylopus
Hesperoptenus tickelli
Hipposideros armiger
Hipposideros ater
Hipposideros cineraceus
Hipposideros diadema
Hipposideros galeritus
Hipposideros lankadiva
Hipposideros larvatus
Hipposideros pomona
Hipposideros speoris
Ia io
Kerivoula hardwickii
Kerivoula kachinensis
Kerivoula picta
Kerivoula titania
Megaderma lyra
Megaderma spasma
Murina cyclotis
Myotis hasseltii
Myotis horsfieldii
Myotis muricola
Myotis rosseti
Phoniscus jagorii
Pipistrellus ceylonicus
Pipistrellus coromandra
Pipistrellus javanicus
Pipistrellus tenuis
Rhinolophus acuminatus
Rhinolophus affinis
Rhinolophus beddomei
Rhinolophus malayanus
Rhinolophus pusillus
Rhinolophus rouxii
Rhinolophus shameli
Rhinolophus stheno
Rhinolophus thomasi
Saccolaimus saccolaimus
Scotophilus heathii
Scotophilus kuhlii
Tadarida aegyptiaca
Taphozous longimanus
Taphozous melanopogon
Taphozous theobaldi
Tylonycteris pachypus
Tylonycteris robustula
